component_rank,node_count,share_of_all_nodes_pct
1,142606,97.48171440289836
2,158,0.10800464830131928
3,88,0.060154487661494296
4,82,0.05605304532093786
5,45,0.030760817554173214
6,43,0.029393670107321072
7,41,0.02802652266046893
8,41,0.02802652266046893
9,38,0.025975801490190714
10,38,0.025975801490190714
11,38,0.025975801490190714
12,36,0.024608654043338573
13,34,0.02324150659648643
14,30,0.020507211702782146
15,28,0.019140064255930005
16,25,0.017089343085651788
17,24,0.016405769362225715
18,23,0.015722195638799643
19,22,0.015038621915373574
20,20,0.013671474468521431
21,20,0.013671474468521431
22,20,0.013671474468521431
23,20,0.013671474468521431
24,19,0.012987900745095357
25,19,0.012987900745095357
26,19,0.012987900745095357
27,17,0.011620753298243214
28,17,0.011620753298243214
29,17,0.011620753298243214
30,16,0.010937179574817144
31,16,0.010937179574817144
32,15,0.010253605851391073
33,15,0.010253605851391073
34,15,0.010253605851391073
35,13,0.008886458404538928
36,13,0.008886458404538928
37,12,0.008202884681112858
38,12,0.008202884681112858
39,12,0.008202884681112858
40,12,0.008202884681112858
41,12,0.008202884681112858
42,12,0.008202884681112858
43,12,0.008202884681112858
44,12,0.008202884681112858
45,12,0.008202884681112858
46,11,0.007519310957686787
47,11,0.007519310957686787
48,11,0.007519310957686787
49,11,0.007519310957686787
50,11,0.007519310957686787
51,10,0.006835737234260716
52,10,0.006835737234260716
53,10,0.006835737234260716
54,10,0.006835737234260716
55,10,0.006835737234260716
56,10,0.006835737234260716
57,9,0.006152163510834643
58,9,0.006152163510834643
59,9,0.006152163510834643
60,9,0.006152163510834643
61,9,0.006152163510834643
62,9,0.006152163510834643
63,9,0.006152163510834643
64,9,0.006152163510834643
65,9,0.006152163510834643
66,9,0.006152163510834643
67,9,0.006152163510834643
68,9,0.006152163510834643
69,9,0.006152163510834643
70,8,0.005468589787408572
71,8,0.005468589787408572
72,8,0.005468589787408572
73,8,0.005468589787408572
74,8,0.005468589787408572
75,8,0.005468589787408572
76,8,0.005468589787408572
77,8,0.005468589787408572
78,8,0.005468589787408572
79,8,0.005468589787408572
80,8,0.005468589787408572
81,8,0.005468589787408572
82,8,0.005468589787408572
83,8,0.005468589787408572
84,8,0.005468589787408572
85,7,0.004785016063982501
86,7,0.004785016063982501
87,7,0.004785016063982501
88,7,0.004785016063982501
89,7,0.004785016063982501
90,7,0.004785016063982501
91,7,0.004785016063982501
92,7,0.004785016063982501
93,7,0.004785016063982501
94,7,0.004785016063982501
95,7,0.004785016063982501
96,7,0.004785016063982501
97,7,0.004785016063982501
98,7,0.004785016063982501
99,7,0.004785016063982501
100,7,0.004785016063982501
101,7,0.004785016063982501
102,7,0.004785016063982501
103,7,0.004785016063982501
104,7,0.004785016063982501
105,7,0.004785016063982501
106,7,0.004785016063982501
107,6,0.004101442340556429
108,6,0.004101442340556429
109,6,0.004101442340556429
110,6,0.004101442340556429
111,6,0.004101442340556429
112,6,0.004101442340556429
113,6,0.004101442340556429
114,6,0.004101442340556429
115,6,0.004101442340556429
116,6,0.004101442340556429
117,6,0.004101442340556429
118,6,0.004101442340556429
119,6,0.004101442340556429
120,6,0.004101442340556429
121,6,0.004101442340556429
122,6,0.004101442340556429
123,6,0.004101442340556429
124,6,0.004101442340556429
125,6,0.004101442340556429
126,6,0.004101442340556429
127,6,0.004101442340556429
128,6,0.004101442340556429
129,6,0.004101442340556429
130,6,0.004101442340556429
131,6,0.004101442340556429
132,6,0.004101442340556429
133,6,0.004101442340556429
134,6,0.004101442340556429
135,5,0.003417868617130358
136,5,0.003417868617130358
137,5,0.003417868617130358
138,5,0.003417868617130358
139,5,0.003417868617130358
140,5,0.003417868617130358
141,5,0.003417868617130358
142,5,0.003417868617130358
143,5,0.003417868617130358
144,5,0.003417868617130358
145,5,0.003417868617130358
146,5,0.003417868617130358
147,5,0.003417868617130358
148,5,0.003417868617130358
149,5,0.003417868617130358
150,5,0.003417868617130358
151,5,0.003417868617130358
152,5,0.003417868617130358
153,5,0.003417868617130358
154,5,0.003417868617130358
155,5,0.003417868617130358
156,5,0.003417868617130358
157,5,0.003417868617130358
158,5,0.003417868617130358
159,5,0.003417868617130358
160,5,0.003417868617130358
161,5,0.003417868617130358
162,5,0.003417868617130358
163,5,0.003417868617130358
164,5,0.003417868617130358
165,5,0.003417868617130358
166,5,0.003417868617130358
167,5,0.003417868617130358
168,5,0.003417868617130358
169,5,0.003417868617130358
170,5,0.003417868617130358
171,5,0.003417868617130358
172,5,0.003417868617130358
173,5,0.003417868617130358
174,5,0.003417868617130358
175,5,0.003417868617130358
176,5,0.003417868617130358
177,4,0.002734294893704286
178,4,0.002734294893704286
179,4,0.002734294893704286
180,4,0.002734294893704286
181,4,0.002734294893704286
182,4,0.002734294893704286
183,4,0.002734294893704286
184,4,0.002734294893704286
185,4,0.002734294893704286
186,4,0.002734294893704286
187,4,0.002734294893704286
188,4,0.002734294893704286
189,4,0.002734294893704286
190,4,0.002734294893704286
191,4,0.002734294893704286
192,4,0.002734294893704286
193,4,0.002734294893704286
194,4,0.002734294893704286
195,4,0.002734294893704286
196,4,0.002734294893704286
197,4,0.002734294893704286
198,4,0.002734294893704286
199,4,0.002734294893704286
200,4,0.002734294893704286
201,4,0.002734294893704286
202,4,0.002734294893704286
203,4,0.002734294893704286
204,4,0.002734294893704286
205,4,0.002734294893704286
206,4,0.002734294893704286
207,4,0.002734294893704286
208,4,0.002734294893704286
209,4,0.002734294893704286
210,4,0.002734294893704286
211,4,0.002734294893704286
212,4,0.002734294893704286
213,4,0.002734294893704286
214,4,0.002734294893704286
215,4,0.002734294893704286
216,4,0.002734294893704286
217,4,0.002734294893704286
218,4,0.002734294893704286
219,4,0.002734294893704286
220,4,0.002734294893704286
221,4,0.002734294893704286
222,4,0.002734294893704286
223,4,0.002734294893704286
224,4,0.002734294893704286
225,4,0.002734294893704286
226,4,0.002734294893704286
227,4,0.002734294893704286
228,4,0.002734294893704286
229,4,0.002734294893704286
230,4,0.002734294893704286
231,4,0.002734294893704286
232,4,0.002734294893704286
233,4,0.002734294893704286
234,4,0.002734294893704286
235,4,0.002734294893704286
236,4,0.002734294893704286
237,4,0.002734294893704286
238,4,0.002734294893704286
239,4,0.002734294893704286
240,4,0.002734294893704286
241,4,0.002734294893704286
242,4,0.002734294893704286
243,4,0.002734294893704286
244,4,0.002734294893704286
245,4,0.002734294893704286
246,4,0.002734294893704286
247,4,0.002734294893704286
248,4,0.002734294893704286
249,4,0.002734294893704286
250,3,0.0020507211702782144
251,3,0.0020507211702782144
252,3,0.0020507211702782144
253,3,0.0020507211702782144
254,3,0.0020507211702782144
255,3,0.0020507211702782144
256,3,0.0020507211702782144
257,3,0.0020507211702782144
258,3,0.0020507211702782144
259,3,0.0020507211702782144
260,3,0.0020507211702782144
261,3,0.0020507211702782144
262,3,0.0020507211702782144
263,3,0.0020507211702782144
264,3,0.0020507211702782144
265,3,0.0020507211702782144
266,3,0.0020507211702782144
267,3,0.0020507211702782144
268,3,0.0020507211702782144
269,3,0.0020507211702782144
270,3,0.0020507211702782144
271,3,0.0020507211702782144
272,3,0.0020507211702782144
273,3,0.0020507211702782144
274,3,0.0020507211702782144
275,3,0.0020507211702782144
276,3,0.0020507211702782144
277,3,0.0020507211702782144
278,3,0.0020507211702782144
279,3,0.0020507211702782144
280,3,0.0020507211702782144
281,3,0.0020507211702782144
282,3,0.0020507211702782144
283,3,0.0020507211702782144
284,3,0.0020507211702782144
285,3,0.0020507211702782144
286,3,0.0020507211702782144
287,3,0.0020507211702782144
288,3,0.0020507211702782144
289,3,0.0020507211702782144
290,3,0.0020507211702782144
291,3,0.0020507211702782144
292,3,0.0020507211702782144
293,3,0.0020507211702782144
294,3,0.0020507211702782144
295,3,0.0020507211702782144
296,3,0.0020507211702782144
297,3,0.0020507211702782144
298,3,0.0020507211702782144
299,3,0.0020507211702782144
300,3,0.0020507211702782144
301,3,0.0020507211702782144
302,3,0.0020507211702782144
303,3,0.0020507211702782144
304,3,0.0020507211702782144
305,3,0.0020507211702782144
306,3,0.0020507211702782144
307,3,0.0020507211702782144
308,3,0.0020507211702782144
309,3,0.0020507211702782144
310,3,0.0020507211702782144
311,3,0.0020507211702782144
312,3,0.0020507211702782144
313,3,0.0020507211702782144
314,3,0.0020507211702782144
315,3,0.0020507211702782144
316,3,0.0020507211702782144
317,3,0.0020507211702782144
318,3,0.0020507211702782144
319,3,0.0020507211702782144
320,3,0.0020507211702782144
321,3,0.0020507211702782144
322,3,0.0020507211702782144
323,3,0.0020507211702782144
324,3,0.0020507211702782144
325,3,0.0020507211702782144
326,3,0.0020507211702782144
327,3,0.0020507211702782144
328,3,0.0020507211702782144
329,3,0.0020507211702782144
330,3,0.0020507211702782144
331,3,0.0020507211702782144
332,3,0.0020507211702782144
333,3,0.0020507211702782144
334,3,0.0020507211702782144
335,3,0.0020507211702782144
336,3,0.0020507211702782144
337,3,0.0020507211702782144
338,3,0.0020507211702782144
339,3,0.0020507211702782144
340,3,0.0020507211702782144
341,3,0.0020507211702782144
342,3,0.0020507211702782144
343,3,0.0020507211702782144
344,3,0.0020507211702782144
345,3,0.0020507211702782144
346,3,0.0020507211702782144
347,3,0.0020507211702782144
348,3,0.0020507211702782144
349,3,0.0020507211702782144
350,3,0.0020507211702782144
351,3,0.0020507211702782144
352,3,0.0020507211702782144
353,3,0.0020507211702782144
354,3,0.0020507211702782144
355,3,0.0020507211702782144
356,3,0.0020507211702782144
357,3,0.0020507211702782144
358,3,0.0020507211702782144
359,3,0.0020507211702782144
360,3,0.0020507211702782144
361,3,0.0020507211702782144
362,3,0.0020507211702782144
363,3,0.0020507211702782144
364,3,0.0020507211702782144
365,3,0.0020507211702782144
366,3,0.0020507211702782144
367,3,0.0020507211702782144
368,3,0.0020507211702782144
369,3,0.0020507211702782144
370,3,0.0020507211702782144
371,3,0.0020507211702782144
372,3,0.0020507211702782144
373,3,0.0020507211702782144
374,3,0.0020507211702782144
375,3,0.0020507211702782144
376,3,0.0020507211702782144
377,3,0.0020507211702782144
378,3,0.0020507211702782144
379,3,0.0020507211702782144
380,3,0.0020507211702782144
381,3,0.0020507211702782144
382,3,0.0020507211702782144
383,3,0.0020507211702782144
384,3,0.0020507211702782144
385,3,0.0020507211702782144
386,3,0.0020507211702782144
387,3,0.0020507211702782144
388,3,0.0020507211702782144
389,3,0.0020507211702782144
390,3,0.0020507211702782144
391,3,0.0020507211702782144
392,3,0.0020507211702782144
393,3,0.0020507211702782144
394,3,0.0020507211702782144
395,3,0.0020507211702782144
396,3,0.0020507211702782144
397,3,0.0020507211702782144
398,3,0.0020507211702782144
399,3,0.0020507211702782144
400,3,0.0020507211702782144
401,3,0.0020507211702782144
402,3,0.0020507211702782144
403,3,0.0020507211702782144
404,3,0.0020507211702782144
405,3,0.0020507211702782144
406,3,0.0020507211702782144
407,2,0.001367147446852143
408,2,0.001367147446852143
409,2,0.001367147446852143
410,2,0.001367147446852143
411,2,0.001367147446852143
412,2,0.001367147446852143
413,2,0.001367147446852143
414,2,0.001367147446852143
415,2,0.001367147446852143
416,2,0.001367147446852143
417,2,0.001367147446852143
418,2,0.001367147446852143
419,2,0.001367147446852143
420,2,0.001367147446852143
421,2,0.001367147446852143
422,2,0.001367147446852143
423,2,0.001367147446852143
424,2,0.001367147446852143
425,2,0.001367147446852143
426,2,0.001367147446852143
427,2,0.001367147446852143
428,2,0.001367147446852143
429,2,0.001367147446852143
430,2,0.001367147446852143
431,2,0.001367147446852143
432,2,0.001367147446852143
433,2,0.001367147446852143
434,2,0.001367147446852143
435,2,0.001367147446852143
436,2,0.001367147446852143
437,2,0.001367147446852143
438,2,0.001367147446852143
439,2,0.001367147446852143
440,2,0.001367147446852143
441,2,0.001367147446852143
442,2,0.001367147446852143
443,2,0.001367147446852143
444,2,0.001367147446852143
445,2,0.001367147446852143
446,2,0.001367147446852143
447,2,0.001367147446852143
448,2,0.001367147446852143
449,2,0.001367147446852143
450,2,0.001367147446852143
451,2,0.001367147446852143
452,2,0.001367147446852143
453,2,0.001367147446852143
454,2,0.001367147446852143
455,2,0.001367147446852143
456,2,0.001367147446852143
457,2,0.001367147446852143
458,2,0.001367147446852143
459,2,0.001367147446852143
460,2,0.001367147446852143
461,2,0.001367147446852143
462,2,0.001367147446852143
463,2,0.001367147446852143
464,2,0.001367147446852143
465,2,0.001367147446852143
466,2,0.001367147446852143
467,2,0.001367147446852143
468,2,0.001367147446852143
469,2,0.001367147446852143
470,2,0.001367147446852143
471,2,0.001367147446852143
472,2,0.001367147446852143
473,2,0.001367147446852143
474,2,0.001367147446852143
475,2,0.001367147446852143
476,2,0.001367147446852143
477,2,0.001367147446852143
478,2,0.001367147446852143
479,2,0.001367147446852143
480,2,0.001367147446852143
481,2,0.001367147446852143
482,2,0.001367147446852143
483,2,0.001367147446852143
484,2,0.001367147446852143
485,2,0.001367147446852143
486,2,0.001367147446852143
487,2,0.001367147446852143
488,2,0.001367147446852143
489,2,0.001367147446852143
490,2,0.001367147446852143
491,2,0.001367147446852143
492,2,0.001367147446852143
493,2,0.001367147446852143
494,2,0.001367147446852143
495,2,0.001367147446852143
496,2,0.001367147446852143
497,2,0.001367147446852143
498,2,0.001367147446852143
499,2,0.001367147446852143
500,2,0.001367147446852143
501,2,0.001367147446852143
502,2,0.001367147446852143
503,2,0.001367147446852143
504,2,0.001367147446852143
505,2,0.001367147446852143
506,2,0.001367147446852143
507,2,0.001367147446852143
508,2,0.001367147446852143
